shopId          shopName 	                      shopId               shopName                                  distance
119345556 晓寿司·日本料理（五彩城店） 92628134 金渝·水煮大湖鱼（交大店） 11.512
4588803 西部马华牛肉面（学院路店） 282912 巴黎贝甜PARISBAGUETTE（五道口店） 1.587
195932161 谭鸭血老火锅（五道口店） 96644355 印湘·剁椒鱼头（夏霖园店） 13.652
740398036 杨老五·小龙虾·羊蝎子（农大西路店） 95239562 第1佳大鸡排 6.284
118471178 螺蛳粉先生（中关村店） 100580962 大胡记臭鳜鱼（颐和园店） 6.014
131310684 米斯特比萨（中关村店） 266973 有薰一心日本料理isshin（北师大店） 6.927
155798297 HOTROCK韩国料理（交大店） 40855562 老边饺子馆（万寿路店） 9.263
617312091 行运打边炉（金源店） 52849271 香草意餐厅 6.421
356138 黑松白鹿（华联万柳店） 4711433 北邮科技酒店·中餐厅 7.431
42081214 韩时烤肉（枫蓝国际购物中心店） 4588803 西部马华牛肉面（学院路店） 5.171
280561 小码头火锅（皂君东里店） 159680319 青初抹茶（五道口购物中心店） 4.694
1771684724 马路边边串串香（马连洼荣耀店） 152842184 金掌勺东北菜（魏公村店） 10.119
1931758699 海簋·蒸汽海鲜（西直门店） 98219431 湘芝小厨（五棵松华熙LIVE店） 10.115
267086 便宜坊烤鸭店（航天桥店） 298761 鑫方老鸭汤火锅·羊蝎子（六道口店） 14.919
42963808 京知味炸鸡（交大东路店） 353957 85度C（知春路店） 4.997
42465387 前后涮羊肉（交大店） 286239 西门串吧（大慧寺店） 2.448
42668457 宽板凳老灶火锅（上地店） 4181719 缘来味串兑面 6.509
263766 必胜客（紫金店） 1187814868 小院食光（北师大店） 5.871
42230249 美珍香（万柳华联店） 74294 赛百味（西苑龙湖星悦荟店） 4.344
281351 晋风庄园（二里庄店） 5627937 陈阿婆Hi有鱼烤鱼吧（五棵松店） 18.106
575499997 初味缘市井火锅串串（海淀总店） 159286443 翻江倒海烤鱼 6.245
847287520 陶記黄牛宴·面（中关村旗舰店） 289008 吉野家（学院路店） 5.851
263765 沸腾鱼乡（知春路店） 275892 贵州家乡菜 2.634
42755471 渝品味美食 4491462 绿茶餐厅（凯德晶品店） 15.328
5975615 嫩江湾灶台鱼 1657403 寿司道场（五道口店） 16.209
159504446 1990小郡肝串串香（中关村店） 114542606 炑羊香烤全羊（郑州西三旗店） 14.435
5853436 艺术蛋糕房（朱房路总店） 1657403 寿司道场（五道口店） 6.219
263765 沸腾鱼乡（知春路店） 97179798 诱惑川菜 9.658
159081389 羊羊盒子（动物园店） 264404 金丝特餐厅（大钟寺店） 3.192
41302991 腊罗巴云南菜 275334 雕刻时光咖啡馆（北航店） 6.141
41253460 牛吾牛·日式火锅（五道口购物中心店） 95947832 龙门花甲时尚海鲜（北邮店） 5.964
4639225 加纳达西餐 85346849 陕味居（明光桥店） 2.398
40948460 漫食代火锅（西翠路店） 102881118 CoffeeCraft·CC咖啡馆 8.447
4247274 木屋烧烤（牡丹园店） 152408753 FAMOUS墨西哥餐吧 15.815
299093 蜀相渔舫（上地店） 96278913 麦家小馆·烤羊肉（学清路店） 4.19
42614395 秀海福骨汤麻辣烫 51343524 习连汇中国兰州精品牛肉面 6.501
317583 上岛咖啡（美丽园店） 95484529 伊带伊路新疆美食府（明光桥店） 10.242
275344 风雅小筑（北洼路店） 97179798 诱惑川菜 16.045
182363444 付小姐在成都（五道口店） 1645073187 王大奇老成都串串香 2.236
264728 聚宝渔港（上地创业园店） 78164953 伙计厨房（华联万柳购物中心店） 13.623
570394836 攀成钢小郡肝串串香（海淀绿地店） 2743367 西荣阁酒楼 8.177
329447 江边城外烤全鱼（上地店） 159417401 海帮子威海小海鲜（永泰庄店） 5.758
356138 黑松白鹿（华联万柳店） 95338982 辣池老灶火锅串吧·枣庄辣子鸡 11.285
41894576 NomNom诺姆诺姆印尼餐厅 95186572 鑫方老鸭汤火锅·羊蝎子（知春路店） 4.402
51830158 京八珍（中关村店） 5847757 临水居 7.86
265155 坪亭·铁板烧自助餐厅（中关村店） 265099 汉拿山（金源1店） 4.052
263430 天厨妙香素食馆（清华店） 277687 宴铭园 0.513
5236307 有秦缘陕西名吃（中发百旺商城店） 2416966 川酷麻辣香锅串串香（甘家口大厦店） 14.651
1321630236 姆们MSweetieCake（五道口店） 276306 有薰一心日本料理（五道口店） 3.247
4244200 七八冷面·延边美食（华宇购物中心店） 112784653 明洞邦·韩式美食广场（东升科技园店） 15.393
159500324 新兴园饺子馆（清河店） 99626535 小城渔家（世纪金源购物中心店） 17.274
42081214 韩时烤肉（枫蓝国际购物中心店） 84268671 四世同堂（魏公村店） 3.676
2376257 九妙坊酒楼（牡丹园店） 3275976 赛百味（人大附中店） 6.952
1653298 天和晟烤鸭店（世纪坛店） 1512625 好嫂子（知春路店） 10.7
150441841 功夫潮牛潮汕牛肉火锅 156629084 靠谱烤羊腿·羊蝎子（四道口店） 10.866
1654023 京水宾馆鱼鱻舫餐厅 96729695 小面爱粉 7.306
290288 味多美（清河物美店） 114899088 城南旧事（牡丹园店） 8.484
109755879 MUSANGKING猫山王榴莲甜品蛋糕（枫蓝国际购物中心店） 293611 恒叶渔村 11.916
5850202 嗨货（工商大学店） 2481354 品渡今天 16.689
77081691 醉面肉酱面是一绝（大钟寺店） 182373962 巷品徽菜臭鳜鱼（三里河店） 7.012
1781924068 原始泥炉烤肉（凤凰岭度假村店） 157288745 老门框爆肚涮肉（五棵松店） 42.018
302677 祥记金鲍堂（金鲍堂万寿路店） 92628134 金渝·水煮大湖鱼（交大店） 10.769
1654023 京水宾馆鱼鱻舫餐厅 97361878 天磊串吧涮羊肉（永定路店） 4.366
6664538 玉林串串香（明光桥店） 2574778 食平方（学清路店） 7.506
2483252 徽商故里（远大店） 92471721 小城渔家（郑州华联农大南路店） 10.982
84515678 鳗鱼家黑牛火炉烧肉（厂洼店） 80746534 郭靖烤全羊·莜面村·烧烤（西三旗店） 20.509
50002814 健鼎清真羊蝎子火锅城 118499422 鱼八斗老麻水煮鱼·重庆江湖菜（知春路店） 3.801
4000941 大渔之观（欧美汇购物中心店） 101320912 沸炉鲜货火锅（牡丹园店） 4.98
1652825 新世纪日航饭店 1924556700 卡布奇诺精品蛋糕订制（北三环店） 2.293
6376791 麻里麻里（融科店） 5139474 东方宫中国兰州牛肉拉面（交大东路店） 5.576
281351 晋风庄园（二里庄店） 40599503 好印象烧烤 12.676
77772385 福茂源陕北横山铁锅羊肉（牡丹园店） 159392638 享家食堂 1.225
271093 首尔798韩国料理地区（五道口东源大厦店） 152408753 FAMOUS墨西哥餐吧 15.138
4244200 七八冷面·延边美食（华宇购物中心店） 157056265 和畅小镇京味私房菜（五棵松华熙店） 11.844
1933331004 印湘·剁椒鱼头（苏家坨店） 315839 阿西娅食府（中关村店） 24.747
296169 一喜日本料理（花园路店） 95863925 泰伙餐厅 12.624
1487320410 粉象精酿啤酒餐吧 264807 加藤屋（魏公村店） 5.784
152409733 湘北记忆小龙虾啤酒屋 158871713 犟骨头排骨饭（四道口店） 10.957
266432 小码头重庆火锅（二里庄店） 95258919 首迩紫菜包饭（航天桥店） 9.731
4847866 老诚一锅（学清路店） 275234 老宅门（永泰店） 4.868
6700547 老郑州门钉肉饼爆肚涮肉（农业大学西区店） 90794553 好这口重庆小面（总店） 11.004
3272 正院大宅门（首体店） 286649 鱼众不同烤鱼（万泉庄路店） 5.259
1229339990 985火锅串串香烧烤 264194 竹园村大酒店（五棵松店） 16.868
300316 汇贤府（解放军301店） 354575 惠丰堂饭庄（北洼路店） 6.675
84268671 四世同堂（魏公村店） 119701361 知味湘（中关村店） 3.574
1657721 朵宜·排骨飯專家（中关村店） 6919612 老街火锅（阜成路店） 9.331
163201807 石器时代串吧（六道口店） 159504446 1990小郡肝串串香（中关村店） 6.274
299093 蜀相渔舫（上地店） 109200468 池田寿司（金源店） 14.856
373673 金凤成祥（五棵松二店） 158871713 犟骨头排骨饭（四道口店） 12.326
6592071 有礼有面（知春路店） 160205433 鸿运京味堂·原磁福酒楼（北大畅春园店） 5.106
1781924068 原始泥炉烤肉（凤凰岭度假村店） 296169 一喜日本料理（花园路店） 42.677
262871 裕龙大酒店·大上海餐厅 4591637 哞哞小花牛鲜奶屋（橡树湾店） 18.258
195948110 谭鸭血老火锅（黑泉路店） 667121160 川辣邦·新派川菜（上地店） 9.211
165837560 汤本味新赣苑（蓟门桥店） 275334 雕刻时光咖啡馆（北航店） 4.303
283707 正院大宅门（五棵松店） 193166907 串亭居酒屋（清华科技园店） 13.21
2470992 西部马华牛肉面（海淀桥店） 157824029 老望京小腰（上地店） 7.792
1345478063 七八冷面·延边美食（圣熙八号店） 41071385 重庆地瓜老火锅（西四环北路总店） 15.513
1658231 晋阳饭庄（永定路店） 150021557 汉唐小馆（京粮广场店） 3.258
263770 必胜客（五道口店） 98090882 聚虎堂（闵庄店） 10.162
2387743 淮扬菜品鉴堂 6480966 北平食府·鱼头泡饼（万寿路店） 3.999
